ID;Name;Total Paid;Pending;Date
0;Cliente Sauna;44036.0;0;2014-04-26
0;Cliente Sauna;52734.0;0;2014-06-26
16;Cliente 16;650.0;0;2014-06-26
18;Cliente 18;0;991.3399999999999;2014-06-26
0;Cliente Sauna;4809.0;0;2014-07-26
54;Cliente 54;320.0;0;2014-07-26
0;Cliente Sauna;79.0;0.0;2014-08-26
18;Cliente 18;0;1178.01;2014-08-26
0;Cliente Sauna;64186.0;0;2014-09-26
0;Cliente Sauna;18227.0;0;2014-11-26
11;Cliente 11;550.0;264.0;2014-11-26
0;Cliente Sauna;49811.0;0.0;2014-01-27
21;Cliente 21;1231.0;80.0;2014-01-27
22;Cliente 22;280.0;152.0;2014-01-27
0;Cliente Sauna;3776.0;0;2015-01-27
0;Cliente Sauna;12877.0;0;2014-02-27
23;Cliente 23;0;456.66999999999996;2014-02-27
24;Cliente 24;253.0;0;2014-02-27
0;Cliente Sauna;3103.0;0;2015-02-27
0;Cliente Sauna;53652.0;0.0;2015-03-27
0;Cliente Sauna;14919.0;0;2014-05-27
0;Cliente Sauna;8574.0;0;2014-06-27
0;Cliente Sauna;71896.0;0;2014-08-27
14;Cliente 14;0;1245.0;2014-08-27
0;Cliente Sauna;30278.0;0;2014-09-27
0;Cliente Sauna;17851.0;0;2014-10-27
0;Cliente Sauna;66887.0;0;2014-11-27
0;Cliente Sauna;21314.0;0;2014-01-28
23;Cliente 23;0;134.01;2014-01-28
39;Cliente 39;666.0;0;2014-01-28
0;Cliente Sauna;70921.0;0;2015-01-28
14;Cliente 14;0;361.0;2015-01-28
0;Cliente Sauna;28228.0;0;2014-02-28
21;Cliente 21;655.0;18.0;2014-02-28
36;Cliente 36;0;120.0;2014-02-28
0;Cliente Sauna;5876.0;0;2015-02-28
6;Cliente 6;153.0;0;2015-02-28
13;Cliente 13;59.0;427.0;2015-02-28
0;Cliente Sauna;22433.0;0;2014-04-28
0;Cliente Sauna;45872.0;0;2014-05-28
0;Cliente Sauna;24434.0;0;2014-06-28
6;Cliente 6;611.0;2.0;2014-06-28
0;Cliente Sauna;71962.0;0;2014-07-28
0;Cliente Sauna;1890.0;0;2014-08-28
0;Cliente Sauna;7957.0;0;2014-10-28
0;Cliente Sauna;56104.0;0;2014-11-28
1;Cliente 1;1890.0;0;2014-11-28
0;Cliente Sauna;65487.0;0.0;2014-01-29
0;Cliente Sauna;27062.0;0;2015-01-29
0;Cliente Sauna;8702.0;0;2014-04-29
14;Cliente 14;0;870.0;2014-04-29
0;Cliente Sauna;13825.0;0;2014-05-29
0;Cliente Sauna;20143.0;0.0;2014-07-29
64;Cliente 64;296.0;0;2014-07-29
0;Cliente Sauna;32022.0;0;2014-08-29
0;Cliente Sauna;29085.0;0;2014-09-29
7;Cliente 7;97.0;610.0;2014-09-29
0;Cliente Sauna;3584.0;0;2014-10-29
1;Cliente 1;1610.0;0;2014-10-29
5;Cliente 5;1751.0;0;2014-10-29
16;Cliente 16;968.0;0;2014-10-29
